                lunes     martes    miercoles  jueves    viernes
7:30-8:30       (0,0)    (0,1)    (0,2)     (0,3)    (0,4)
8:30-9:30       (1,0)    (1,1)    (1,2)     (1,3)    (1,4)
9:30-10:30      (2,0)    (2,1)    (2,2)     (2,3)    (2,4)
11:30-12:30     (3,0)    (3,1)    (3,2)     (3,3)    (3,4)
12:30-13:30     (4,0)    (4,1)    (4,2)     (4,3)    (4,4)
13:30-14:30     (5,0)    (5,1)    (5,2)     (5,3)    (5,4)
14:30-15:30     (6,0)    (6,1)    (6,2)     (6,3)    (6,4)
15:30-16:30     (7,0)    (7,1)    (7,2)     (7,3)    (7,4)
16:30-17:30     (8,0)    (8,1)    (8,2)     (8,3)    (8,4)
17:30-18:30     (9,0)    (9,1)    (9,2)     (9,3)    (9,4)
18:30-19:30     (10,0)   (10,1)   (10,2)    (10,3)   (10,4)
19:30-20:30     (11,0)   (11,1)   (11,2)    (11,3)   (11,4)
20:30-21:30     (12,0)   (12,1)   (12,2)    (12,3)   (12,4)
21:30-22:30     (13,0)   (13,1)   (13,2)    (13,3)   (13,4)
